Geo__geoid_	Geo_qname	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111011117"	"Census Tract 111.17, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11117	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.17, Jefferson County, Kentucky"	""	""	21	2296	171	637	819	532	123	7	7
"21111011118"	"Census Tract 111.18, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11118	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.18, Jefferson County, Kentucky"	""	""	21	2765	30	750	1168	498	301	0	18
"21111011201"	"Census Tract 112.01, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11201	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 112.01, Jefferson County, Kentucky"	""	""	21	1110	179	259	290	241	97	0	44
"21111011202"	"Census Tract 112.02, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11202	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 112.02, Jefferson County, Kentucky"	""	""	21	2237	298	1004	692	194	49	0	0
"21111011301"	"Census Tract 113.01, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11301	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 113.01, Jefferson County, Kentucky"	""	""	21	1590	194	451	466	283	133	10	53
"21111011302"	"Census Tract 113.02, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11302	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 113.02, Jefferson County, Kentucky"	""	""	21	4635	515	1752	2027	171	158	12	0
"21111011403"	"Census Tract 114.03, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11403	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 114.03, Jefferson County, Kentucky"	""	""	21	1178	190	414	347	178	45	4	0
"21111011404"	"Census Tract 114.04, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11404	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 114.04, Jefferson County, Kentucky"	""	""	21	2644	367	923	1003	203	44	85	19
"21111011405"	"Census Tract 114.05, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11405	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 114.05, Jefferson County, Kentucky"	""	""	21	3819	559	1689	1134	297	62	43	35
"21111011406"	"Census Tract 114.06, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11406	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 114.06, Jefferson County, Kentucky"	""	""	21	3452	538	1401	929	441	143	0	0
