Geo__geoid_	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEO_ID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111009105"	"Census Tract 91.05, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9105	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009105"	"Census Tract 91.05, Jefferson County, Kentucky"	""	""	21	1335	211	573	333	146	72	0	0
"21111009106"	"Census Tract 91.06, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9106	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009106"	"Census Tract 91.06, Jefferson County, Kentucky"	""	""	21	3565	460	1327	1071	518	153	20	16
"21111009300"	"Census Tract 93, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009300"	"Census Tract 93, Jefferson County, Kentucky"	""	""	21	4244	214	820	1327	1186	507	84	106
"21111009401"	"Census Tract 94.01, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9401	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009401"	"Census Tract 94.01, Jefferson County, Kentucky"	""	""	21	1910	68	511	423	457	371	50	30
"21111009402"	"Census Tract 94.02, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9402	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009402"	"Census Tract 94.02, Jefferson County, Kentucky"	""	""	21	2261	136	696	604	503	244	57	21
"21111009600"	"Census Tract 96, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9600	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009600"	"Census Tract 96, Jefferson County, Kentucky"	""	""	21	3647	36	598	976	1162	646	195	34
"21111009700"	"Census Tract 97, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9700	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009700"	"Census Tract 97, Jefferson County, Kentucky"	""	""	21	2109	97	369	530	689	331	53	40
"21111009800"	"Census Tract 98, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9800	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009800"	"Census Tract 98, Jefferson County, Kentucky"	""	""	21	2170	102	185	651	782	333	101	16
"21111009900"	"Census Tract 99, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9900	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009900"	"Census Tract 99, Jefferson County, Kentucky"	""	""	21	1947	37	202	527	629	298	188	66
"21111010001"	"Census Tract 100.01, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10001	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010001"	"Census Tract 100.01, Jefferson County, Kentucky"	""	""	21	3296	74	281	813	1207	573	259	89
