Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21205950400"	"Census Tract 9504, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002986"	""	""	""	""	"21"	"205"	""	""	"950400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950400"	"Census Tract 9504"	""	""	""	2500	620	1073	434	201	136	14	22
"21207960101"	"Census Tract 9601.01, Russell County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002987"	""	""	""	""	"21"	"207"	""	""	"960101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21207960101"	"Census Tract 9601.01"	""	""	""	2792	511	1088	720	220	156	97	0
"21207960102"	"Census Tract 9601.02, Russell County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002988"	""	""	""	""	"21"	"207"	""	""	"960102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21207960102"	"Census Tract 9601.02"	""	""	""	2856	601	976	722	322	130	23	82
"21207960200"	"Census Tract 9602, Russell County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002989"	""	""	""	""	"21"	"207"	""	""	"960200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21207960200"	"Census Tract 9602"	""	""	""	1237	180	493	382	68	110	4	0
"21207960300"	"Census Tract 9603, Russell County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002990"	""	""	""	""	"21"	"207"	""	""	"960300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21207960300"	"Census Tract 9603"	""	""	""	3049	472	995	1228	256	70	8	20
"21207960400"	"Census Tract 9604, Russell County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002991"	""	""	""	""	"21"	"207"	""	""	"960400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21207960400"	"Census Tract 9604"	""	""	""	2614	552	1031	656	200	140	35	0
"21209040101"	"Census Tract 401.01, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002992"	""	""	""	""	"21"	"209"	""	""	"040101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040101"	"Census Tract 401.01"	""	""	""	1055	111	409	397	135	3	0	0
"21209040102"	"Census Tract 401.02, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002993"	""	""	""	""	"21"	"209"	""	""	"040102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040102"	"Census Tract 401.02"	""	""	""	1583	127	811	388	163	79	6	9
"21209040203"	"Census Tract 402.03, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002994"	""	""	""	""	"21"	"209"	""	""	"040203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040203"	"Census Tract 402.03"	""	""	""	3078	185	706	1137	650	381	11	8
"21209040205"	"Census Tract 402.05, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002995"	""	""	""	""	"21"	"209"	""	""	"040205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040205"	"Census Tract 402.05"	""	""	""	2861	140	1153	909	428	168	48	15
