Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21015070202"	"SL140"	"Census Tract 702.02, Boone County, Kentucky"	"Census Tract 702.02, Boone County, Kentucky"	2099589	0	2429	128	1050	797	443	0	0	11
"21015070301"	"SL140"	"Census Tract 703.01, Boone County, Kentucky"	"Census Tract 703.01, Boone County, Kentucky"	11579603	28600	3230	510	1321	1066	271	25	37	0
"21015070305"	"SL140"	"Census Tract 703.05, Boone County, Kentucky"	"Census Tract 703.05, Boone County, Kentucky"	6093900	0	5086	198	1163	2180	934	560	51	0
"21015070309"	"SL140"	"Census Tract 703.09, Boone County, Kentucky"	"Census Tract 703.09, Boone County, Kentucky"	7316708	0	4286	143	664	957	1713	672	60	77
"21015070311"	"SL140"	"Census Tract 703.11, Boone County, Kentucky"	"Census Tract 703.11, Boone County, Kentucky"	17772365	522894	1962	232	958	562	139	50	11	10
"21015070312"	"SL140"	"Census Tract 703.12, Boone County, Kentucky"	"Census Tract 703.12, Boone County, Kentucky"	3780491	0	2424	135	887	744	372	273	13	0
"21015070313"	"SL140"	"Census Tract 703.13, Boone County, Kentucky"	"Census Tract 703.13, Boone County, Kentucky"	3486373	11446	3414	268	1009	907	679	260	291	0
"21015070314"	"SL140"	"Census Tract 703.14, Boone County, Kentucky"	"Census Tract 703.14, Boone County, Kentucky"	3387059	0	4096	231	949	1288	1124	320	55	129
"21015070315"	"SL140"	"Census Tract 703.15, Boone County, Kentucky"	"Census Tract 703.15, Boone County, Kentucky"	5507336	20579	3806	304	1065	1310	615	309	195	8
"21015070316"	"SL140"	"Census Tract 703.16, Boone County, Kentucky"	"Census Tract 703.16, Boone County, Kentucky"	4944741	0	4646	303	1230	1161	1085	664	18	185
"21015070317"	"SL140"	"Census Tract 703.17, Boone County, Kentucky"	"Census Tract 703.17, Boone County, Kentucky"	3769753	0	3296	69	685	1126	825	505	52	34
"21015070318"	"SL140"	"Census Tract 703.18, Boone County, Kentucky"	"Census Tract 703.18, Boone County, Kentucky"	16701513	4720	5923	101	1488	1842	1646	723	90	33
"21015070403"	"SL140"	"Census Tract 704.03, Boone County, Kentucky"	"Census Tract 704.03, Boone County, Kentucky"	30989158	4292208	4258	36	494	1090	1674	599	244	121
"21015070404"	"SL140"	"Census Tract 704.04, Boone County, Kentucky"	"Census Tract 704.04, Boone County, Kentucky"	23331810	4382927	2943	136	623	824	804	489	37	30
"21015070405"	"SL140"	"Census Tract 704.05, Boone County, Kentucky"	"Census Tract 704.05, Boone County, Kentucky"	55673299	1296677	1653	135	388	450	541	67	55	17
"21015070406"	"SL140"	"Census Tract 704.06, Boone County, Kentucky"	"Census Tract 704.06, Boone County, Kentucky"	6176458	26569	1632	124	477	607	397	27	0	0
"21015070407"	"SL140"	"Census Tract 704.07, Boone County, Kentucky"	"Census Tract 704.07, Boone County, Kentucky"	10469056	3216	2198	133	492	848	530	155	28	12
"21015070502"	"SL140"	"Census Tract 705.02, Boone County, Kentucky"	"Census Tract 705.02, Boone County, Kentucky"	141401200	13300829	2927	192	1328	695	482	135	28	67
"21015070503"	"SL140"	"Census Tract 705.03, Boone County, Kentucky"	"Census Tract 705.03, Boone County, Kentucky"	6078074	0	4533	74	1957	1228	729	473	72	0
"21015070505"	"SL140"	"Census Tract 705.05, Boone County, Kentucky"	"Census Tract 705.05, Boone County, Kentucky"	4887949	0	2251	59	460	773	596	279	69	15
"21015070506"	"SL140"	"Census Tract 705.06, Boone County, Kentucky"	"Census Tract 705.06, Boone County, Kentucky"	12959734	0	3044	403	809	626	772	414	3	17
"21015070601"	"SL140"	"Census Tract 706.01, Boone County, Kentucky"	"Census Tract 706.01, Boone County, Kentucky"	91921856	2207860	2046	162	605	441	505	307	20	6
"21015070604"	"SL140"	"Census Tract 706.04, Boone County, Kentucky"	"Census Tract 706.04, Boone County, Kentucky"	82459552	276433	2019	195	530	707	352	173	52	10
"21015070605"	"SL140"	"Census Tract 706.05, Boone County, Kentucky"	"Census Tract 706.05, Boone County, Kentucky"	10551941	16201	5024	281	889	1051	1411	1075	242	75
"21015070606"	"SL140"	"Census Tract 706.06, Boone County, Kentucky"	"Census Tract 706.06, Boone County, Kentucky"	21357986	112708	3189	223	1154	861	583	349	19	0
"21015070607"	"SL140"	"Census Tract 706.07, Boone County, Kentucky"	"Census Tract 706.07, Boone County, Kentucky"	22368630	2108	2652	101	682	855	602	299	68	45
"21015980100"	"SL140"	"Census Tract 9801, Boone County, Kentucky"	"Census Tract 9801, Boone County, Kentucky"	23916958	0	17	0	9	4	4	0	0	0
"21017030101"	"SL140"	"Census Tract 301.01, Bourbon County, Kentucky"	"Census Tract 301.01, Bourbon County, Kentucky"	6117810	209590	1430	163	463	372	246	155	20	11
"21017030102"	"SL140"	"Census Tract 301.02, Bourbon County, Kentucky"	"Census Tract 301.02, Bourbon County, Kentucky"	19601231	60388	1157	107	385	372	162	81	20	30
"21017030201"	"SL140"	"Census Tract 302.01, Bourbon County, Kentucky"	"Census Tract 302.01, Bourbon County, Kentucky"	7239687	15351	2924	477	1207	729	331	74	83	23
"21017030202"	"SL140"	"Census Tract 302.02, Bourbon County, Kentucky"	"Census Tract 302.02, Bourbon County, Kentucky"	2797097	0	1362	217	373	325	235	170	37	5
"21017030300"	"SL140"	"Census Tract 303, Bourbon County, Kentucky"	"Census Tract 303, Bourbon County, Kentucky"	208513444	1626831	2421	113	923	638	413	186	126	22
"21017030400"	"SL140"	"Census Tract 304, Bourbon County, Kentucky"	"Census Tract 304, Bourbon County, Kentucky"	142828772	1039111	1416	101	477	388	148	176	116	10
"21017030500"	"SL140"	"Census Tract 305, Bourbon County, Kentucky"	"Census Tract 305, Bourbon County, Kentucky"	159204231	956549	1686	287	557	439	240	130	5	28
"21017030600"	"SL140"	"Census Tract 306, Bourbon County, Kentucky"	"Census Tract 306, Bourbon County, Kentucky"	204146382	912868	1448	214	435	447	187	122	23	20
"21019030200"	"SL140"	"Census Tract 302, Boyd County, Kentucky"	"Census Tract 302, Boyd County, Kentucky"	4072085	2110925	888	135	324	215	107	76	25	6
"21019030300"	"SL140"	"Census Tract 303, Boyd County, Kentucky"	"Census Tract 303, Boyd County, Kentucky"	1518094	640	1511	153	441	599	216	85	17	0
