bgp1990gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G210111092104480000118039999999452012,G2101110011800,21111011800,1,1,1,1,1,1,1,1
G210111092104480000118039999999452013,G2101110011800,21111011800,1,1,1,1,1,1,1,1
G210111092104480000118039999999452014,G2101110011800,21111011800,0.9959434474,1,1,1,1,1,1,1
G210111092104480000118039999999452014,G2101110980100,21111980100,0.0040565526,0,0,0,0,0,0,0
G210111092104480000118039999999452015,G2101110011800,21111011800,0.9772658235,0.9960973794,0.9960973794,0.9960973794,0.9960973794,0.9960973794,0.9960973794,0.9960973794
G210111092104480000118039999999452015,G2101110980100,21111980100,0.0227341765,0.0039026206,0.0039026206,0.0039026206,0.0039026206,0.0039026206,0.0039026206,0.0039026206
G210111092104480000118039999999452016,G2101110011800,21111011800,0.9588249566,0.9458780894,0.9494077023,0.94867838,0.9490267563,0.9506412934,0.9492120778,0.9481402186
G210111092104480000118039999999452016,G2101110980100,21111980100,0.0411750434,0.0541219106,0.0505922977,0.05132162,0.0509732437,0.0493587066,0.0507879222,0.0518597814
G210111092104480000118039999999452017,G2101110011800,21111011800,0.9813498517,0.9935808242,0.9934988313,0.9939393727,0.9923285218,0.992408433,0.9931909957,0.9867224415
G210111092104480000118039999999452017,G2101110980100,21111980100,0.0186501483,0.0064191758,0.0065011687,0.0060606273,0.0076714782,0.007591567,0.0068090043,0.0132775585
G21011109210448000012202039999999452011,G2101110012202,21111012202,1,1,1,1,1,1,1,1
G21011109210448000012202039999999452012,G2101110012202,21111012202,1,1,1,1,1,1,1,1
G21011109210448000012202039999999452013,G2101110012202,21111012202,1,1,1,1,1,1,1,1
G21011109210448000012204039999999452013,G2101110012204,21111012204,1,1,1,1,1,1,1,1
G21011109210448000012301039999999452011,G2101110012301,21111012301,1,1,1,1,1,1,1,1
G21011109210448000012301039999999452012,G2101110012301,21111012301,1,1,1,1,1,1,1,1
G21011109210448000012301039999999452013,G2101110012301,21111012301,1,1,1,1,1,1,1,1
G21011109210448000012301039999999452014,G2101110012301,21111012301,1,1,1,1,1,1,1,1
G21011109210448000012302039999999452011,G2101110012302,21111012302,1,1,1,1,1,1,1,1
G21011109210448000012302039999999452012,G2101110012302,21111012302,1,1,1,1,1,1,1,1
G21011109210448000012603039999999452011,G2101110012603,21111012603,1,1,1,1,1,1,1,1
G21011109210448000012701039999999452011,G2101110012701,21111012701,1,1,1,1,1,1,1,1
G21011109210448000012801039999999452012,G2101110012801,21111012801,1,1,1,1,1,1,1,1
G21011109210448000012801039999999452013,G2101110012801,21111012801,1,1,1,1,1,1,1,1
G21011109210448000012801039999999452014,G2101110012801,21111012801,1,1,1,1,1,1,1,1
G21011109210448000012801039999999452015,G2101110012801,21111012801,1,1,1,1,1,1,1,1
G21011109210448000012802039999999452017,G2101110012802,21111012802,1,1,1,1,1,1,1,1
G210111092104480000129039999999452011,G2101110009300,21111009300,1,1,1,1,1,1,1,1
G210111092104480000130039999999452011,G2101110009300,21111009300,0.8517205042,0,0,0,0,0,0,0
G210111092104480000130039999999452011,G2101110009400,21111009400,0.1482794958,1,1,1,1,1,1,1
G210111092104480000130039999999452012,G2101110009300,21111009300,0.751486802,1,1,1,1,1,1,1
G210111092104480000130039999999452012,G2101110009400,21111009400,0.248513198,0,0,0,0,0,0,0
G210111092104480000131039999999452011,G2101110008800,21111008800,0.0048693621,0.0048693621,0.0048693621,0.0048693621,0.0048693621,0.0048693621,0.0048693621,0.0048693621
G210111092104480000131039999999452011,G2101110013100,21111013100,0.9951306379,0.9951306379,0.9951306379,0.9951306379,0.9951306379,0.9951306379,0.9951306379,0.9951306379
G210111092104480000131039999999452012,G2101110008900,21111008900,0.4616110313,0.246931605,0.2374040409,0.2492106013,0.216926233,0.20788764,0.2294690889,0.1573476677
G210111092104480000131039999999452012,G2101110013100,21111013100,0.5383889687,0.753068395,0.7625959591,0.7507893987,0.783073767,0.79211236,0.7705309111,0.8426523323
G210111092104480000131039999999452013,G2101110009700,21111009700,0.1926952605,0,0,0,0,0,0,0
G210111092104480000131039999999452013,G2101110013100,21111013100,0.8073047395,1,1,1,1,1,1,1
