tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100150070311,21015070311,G2100150980100,21015980100,0.3119685737,0.0260643247,0.0277585344,0.0292771572,0.0286432333,0.0291671498,0.0333344469,0.0170568802
G2100150070312,21015070312,G2100150070312,21015070312,1,1,1,1,1,1,1,1
G2100150070313,21015070313,G2100150070313,21015070313,0.9974438968,0.9950932287,0.9947113266,0.9929328622,0.9946284691,0.9947689625,0.9937304075,1
G2100150070313,21015070313,G2100150070314,21015070314,0.0025561032,0.0049067713,0.0052886734,0.0070671378,0.0053715309,0.0052310375,0.0062695925,0
G2100150070314,21015070314,G2100150070313,21015070313,0.0000423294,0.0000110067,0.0000124719,0.000011664,0.0000100429,0.0000100217,0.000010558,0.0000064671
G2100150070314,21015070314,G2100150070314,21015070314,0.9999576706,0.9999889933,0.9999875281,0.999988336,0.9999899571,0.9999899783,0.999989442,0.9999935329
G2100150070401,21015070401,G2100150070403,21015070403,0.5704824332,0.5908241887,0.5630654604,0.581956798,0.5542607429,0.5455796354,0.6006711409,0.2486187845
G2100150070401,21015070401,G2100150070404,21015070404,0.4295175668,0.4091758113,0.4369345396,0.418043202,0.4457392571,0.4544203646,0.3993288591,0.7513812155
G2100150070402,21015070402,G2100150070405,21015070405,0.7696999689,0.2811969954,0.3062378512,0.3005806163,0.2998901501,0.2985699337,0.332034632,0.1235154394
G2100150070402,21015070402,G2100150070406,21015070406,0.0854256242,0.3302641144,0.3217883018,0.3139794551,0.3203954595,0.3184513429,0.3199134199,0.32304038
G2100150070402,21015070402,G2100150070407,21015070407,0.1447958754,0.3885388902,0.371973847,0.3854399285,0.3797143903,0.3829787234,0.3480519481,0.5534441805
G2100150070402,21015070402,G2100150070506,21015070506,0.0000785315,0,0,0,0,0,0,0
G2100150070502,21015070502,G2100150070405,21015070405,0.0001578309,0.000085051,0.0000896518,0.0000824454,0.0000864833,0.0000812563,0.0000928511,0.0000492955
G2100150070502,21015070502,G2100150070502,21015070502,0.9998421691,0.999914949,0.9999103482,0.9999175546,0.9999135167,0.9999187437,0.9999071489,0.9999507045
G2100150070503,21015070503,G2100150070503,21015070503,1,1,1,1,1,1,1,1
G2100150070504,21015070504,G2100150070505,21015070505,0.2739573832,0.4830519397,0.4612329803,0.5095095095,0.514762516,0.5111570248,0.5281582953,0.4426229508
G2100150070504,21015070504,G2100150070506,21015070506,0.7260426168,0.5169480603,0.5387670197,0.4904904905,0.485237484,0.4888429752,0.4718417047,0.5573770492
G2100150070601,21015070601,G2100150070601,21015070601,1,1,1,1,1,1,1,1
G2100150070604,21015070604,G2100150070604,21015070604,0.9999986786,0.9999960289,0.9999968246,0.9999963159,0.999996721,0.999996843,0.9999965631,0.9999979472
G2100150070604,21015070604,G2100810920101,21081920101,0.0000013214,0.0000039711,0.0000031754,0.0000036841,0.000003279,0.000003157,0.0000034369,0.0000020528
G2100150070605,21015070605,G2100150070605,21015070605,1,1,1,1,1,1,1,1
