unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,public1,public2,public3,public4,public5,public6,public7,public8,public9,private,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,multype,fopna,fopna1,fopna2,insttoyr,licensed,accrd1,accrd2,accrd3,accrd4,regaccrd,saccr
"101392","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"101417","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-1","-1","-1","-1","-2","2"
"101435","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","79","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101444","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101453","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","74","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101462","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-2","-2","-2","1","1","-5","-5","8","1"
"101471","1","-5","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-2","-2","-2","1","-5","-5","-5","-2","1"
"101480","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","1","1","1","-5","-5","-5","-5","-5","1","1","1","-2","-2","1","1","1","-5","8","1"
"101499","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101505","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101514","1","1","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101523","1","-5","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101532","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","-1","-1","-2","-2","-2","-1","-1","-1","-1","-2","2"
"101541","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101569","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101587","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","1","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101602","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101648","-5","1","-2","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"101657","1","-5","-2","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101675","-5","1","-5","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","55","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"101693","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","75","-5","-5","1","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101709","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","1","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101736","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101879","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101897","1","1","-2","1","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-2","-2","-2","-5","1","-5","-5","8","1"
"101912","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","95","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"101949","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101958","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1"
"101985","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","-1","-1","-2","-2","-2","-1","-1","-1","-1","-2","-1"
"101994","1","-5","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"102030","1","1","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"102049","-5","1","1","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","-5","-5","1","1","1","-5","1","1","1","1","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"102058","1","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","-5","1","1","1","1","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-2","-2","-5","-5","-5","1","-2","2"
"102067","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"102076","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"102094","1","1","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","-5","1","1","1","1","1","1","1","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"102100","-5","1","-5","1","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"102216","1","1","-2","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1"
"102234","1","1","1","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","30","-5","-5","1","1","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","1"
"102261","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","1","1","1","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"102270","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","66","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"102298","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","76","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","1"
"102313","1","-5","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-2","-2","-2","1","-5","-5","-5","-2","1"
"102322","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","1","-5","1","1","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","1"
"102331","-5","1","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","-5","-5","-5","-5","-5","1","-5","1","-2","-2","1","1","1","-5","8","1"
"102359","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","1","-5","1","1","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"102368","-5","1","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","1","1","1","-5","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"102377","1","1","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","-5","1","-5","1","-5","1","1","-5","-5","-5","1","1","-5","-2","-2","-5","1","-5","-5","8","1"
"102395","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"102410","1","1","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"102429","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"102438","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-5","-5","1","-5","-2","2"
"102508","1","-5","-2","1","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","-1"
"102553","1","1","1","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","1","1","1","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","-5","-5","7","1"
"102562","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","1","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","1","-5","-5","-1","1"
"102580","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","79","-5","1","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1"
"102614","1","1","1","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","1","1","1","1","1","1","-5","-5","-5","-5","1","1","-5","-2","-2","-5","1","-5","-5","7","1"
"102623","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"102632","1","1","1","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","7","2"
"102669","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","71","1","-5","1","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","7","2"
"102711","1","-5","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-5","-5","1","-5","-2","1"
"102845","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1"
"102906","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","79","-5","1","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"102915","1","-5","-2","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"102960","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","27","-5","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","-5","1","-2","2"
"103024","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"103194","1","-5","-2","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","-5","1","-2","2"
"103246","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1"
"103255","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"103352","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"103361","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","7","2"
